Municipio,ICI_Gen,ICI_Rsg,ICI_Comp
Calakmul,0.461458383386145,0.5310349115183228,0.49624664745223396
Calkiní,0.2507053535477647,0.2595482353110793,0.25512679442942193
Campeche,0.15449799794630362,0.3065859911278983,0.23054199453710095
Candelaria,0.5522856000412675,0.581609591413577,0.5669475957274223
Carmen,0.31578987749715265,0.2667503180369583,0.2912700977670555
Champotón,0.26827167759956067,0.26639921166146974,0.2673354446305152
Escárcega,0.2759895056942995,0.2395187101370097,0.25775410791565456
Hecelchakán,0.31062206395790115,0.199429855613081,0.2550259597854911
Hopelchén,0.38465785034221756,0.2779903544371479,0.33132410238968274
Palizada,0.6654667217547218,0.5607607955340346,0.6131137586443781
Seybaplaya,0.2908562043840893,0.3063215803068533,0.2985888923454713
Tenabo,0.33471739881643103,0.12997886945904635,0.2323481341377387
