RANKING,NOM_MUN,DIM_SS,DIM_EF,DIM_CA,DIM_GV,IVS,NIVEL_IVS
1,Calakmul,0.7159659306312525,0.5506811527669552,0.813563592956086,0.5975410164506229,0.6754,Muy Alto
2,Candelaria,0.6661575350124028,0.377985054579517,0.7587383084481308,0.36589065209796373,0.5572,Muy Alto
3,HopelchÃ©n,0.5324076073085952,0.4589432328446952,0.7540990388433584,0.46738336446395223,0.5565,Muy Alto
4,HecelchakÃ¡n,0.5444458735114439,0.44085748062138636,0.4652088422307521,0.438908992546831,0.4776,Alto
5,ChampotÃ³n,0.49468436977110625,0.43159846512049066,0.6090998458001601,0.28364520329827253,0.4653,Alto
6,CalkinÃ­,0.5139428394005123,0.47342134570685906,0.38700824761469954,0.46535845561308986,0.4624,Medio
7,Tenabo,0.5682258759696054,0.38258256461129075,0.39031063543236844,0.4589544114074731,0.4555,Medio
8,EscÃ¡rcega,0.4063089471640359,0.39678845158778037,0.6454923721518147,0.3434159530357355,0.4511,Bajo
9,Seybaplaya,0.4260431502073576,0.3669895918290161,0.6108030880295756,0.3940853098403368,0.4511,Bajo
10,Palizada,0.4328359579936761,0.39279201011345233,0.7343760245649223,0.18873855361191405,0.4494,Muy Bajo
11,Campeche,0.25316855017207973,0.6666666666666666,0.019120474386474625,0.23075973197388508,0.2935,Muy Bajo
12,Carmen,0.2897000466657409,0.5603450357777953,0.16307744317283104,0.10479821543884449,0.2887,Muy Bajo
